[train: 1, 1100 / 30000] FPS: 26.6 (25.1)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.36475  ,  Loss/giou: 0.79761  ,  Loss/l1: 0.13369  ,  Loss/location: 3.10110  ,  IoU: 0.34056
[train: 1, 1150 / 30000] FPS: 26.6 (27.5)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.25978  ,  Loss/giou: 0.79254  ,  Loss/l1: 0.13230  ,  Loss/location: 3.01322  ,  IoU: 0.34435
[train: 1, 1200 / 30000] FPS: 26.6 (24.4)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.16339  ,  Loss/giou: 0.78786  ,  Loss/l1: 0.13115  ,  Loss/location: 2.93194  ,  IoU: 0.34853
[train: 1, 1250 / 30000] FPS: 26.6 (27.3)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.08604  ,  Loss/giou: 0.78589  ,  Loss/l1: 0.13055  ,  Loss/location: 2.86151  ,  IoU: 0.35044
[train: 1, 1300 / 30000] FPS: 26.7 (27.4)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.00271  ,  Loss/giou: 0.78107  ,  Loss/l1: 0.12930  ,  Loss/location: 2.79406  ,  IoU: 0.35404
[train: 1, 1350 / 30000] FPS: 26.7 (27.4)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.91914  ,  Loss/giou: 0.77532  ,  Loss/l1: 0.12776  ,  Loss/location: 2.72969  ,  IoU: 0.35841
[train: 1, 1400 / 30000] FPS: 26.7 (27.8)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.84308  ,  Loss/giou: 0.77033  ,  Loss/l1: 0.12680  ,  Loss/location: 2.66843  ,  IoU: 0.36302
[train: 1, 1450 / 30000] FPS: 26.7 (26.1)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.78676  ,  Loss/giou: 0.77000  ,  Loss/l1: 0.12637  ,  Loss/location: 2.61489  ,  IoU: 0.36353
[train: 1, 1500 / 30000] FPS: 26.7 (28.2)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.72215  ,  Loss/giou: 0.76616  ,  Loss/l1: 0.12539  ,  Loss/location: 2.56286  ,  IoU: 0.36653
[train: 1, 1550 / 30000] FPS: 26.7 (26.0)  ,  DataTime: 0.003 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 4.67131  ,  Loss/giou: 0.76479  ,  Loss/l1: 0.12483  ,  Loss/location: 2.51758  ,  IoU: 0.36767
